id_org,long,lat,type,id,coordinate
V52C0E0,121.48975,25.02691,vd,222,"25.02691,121.48975"
V52C1E0,121.48921999999999,25.029320000000002,vd,223,"25.029320000000002,121.48921999999999"
V52C2E0,121.48911000000001,25.03546,vd,224,"25.03546,121.48911000000001"
V52D0E0,121.49175,25.021829999999998,vd,225,"25.021829999999998,121.49175"
V52H2E0,121.49663000000001,25.039179999999998,vd,226,"25.039179999999998,121.49663000000001"
V52I2E0,121.50033,25.04413,vd,227,"25.04413,121.50033"
V52J2E0,121.50282,25.046129999999998,vd,228,"25.046129999999998,121.50282"
V56BU20,121.48598999999999,25.12186,vd,229,"25.12186,121.48598999999999"
V58AH60,121.47438000000001,25.122429999999998,vd,230,"25.122429999999998,121.47438000000001"
V5AAF60,121.49065,25.12148,vd,231,"25.12148,121.49065"
V5AAF61,121.46883999999999,25.12314,vd,232,"25.12314,121.46883999999999"
V5B2R20,121.47308000000001,25.12271,vd,233,"25.12271,121.47308000000001"
V5B2R60,121.48302,25.12196,vd,234,"25.12196,121.48302"
V5G1K20,121.46666,25.123079999999998,vd,235,"25.123079999999998,121.46666"
V6110C0,121.57005,25.05272,vd,236,"25.05272,121.57005"
V6120C0,121.57082,25.051470000000002,vd,237,"25.051470000000002,121.57082"
V6121A0,121.57651000000001,25.05487,vd,238,"25.05487,121.57651000000001"
V6130C0,121.57427,25.05334,vd,239,"25.05334,121.57427"
V6140C0,121.57638999999999,25.05452,vd,240,"25.05452,121.57638999999999"
V6140C1,121.5766,25.054570000000002,vd,241,"25.054570000000002,121.5766"
V6141E0,121.57245,25.063229999999997,vd,242,"25.063229999999997,121.57245"
V6150C0,121.58155,25.0572,vd,243,"25.0572,121.58155"
V6150C1,121.58516999999999,25.059160000000002,vd,244,"25.059160000000002,121.58516999999999"
V6151C0,121.58365,25.05845,vd,245,"25.05845,121.58365"
V6151C1,121.58507,25.05919,vd,246,"25.05919,121.58507"
V6160C0,121.58758999999999,25.06048,vd,247,"25.06048,121.58758999999999"
V6160C1,121.5912,25.06071,vd,248,"25.06071,121.5912"
V6160C2,121.59848999999998,25.05828,vd,249,"25.05828,121.59848999999998"
V6160C3,121.60203999999999,25.05848,vd,250,"25.05848,121.60203999999999"
V6160C4,121.6061,25.058989999999998,vd,251,"25.058989999999998,121.6061"
V6160C5,121.60963999999998,25.06011,vd,252,"25.06011,121.60963999999998"
V6160C6,121.61088000000001,25.06105,vd,253,"25.06105,121.61088000000001"
V6160C7,121.61174,25.061989999999998,vd,254,"25.061989999999998,121.61174"
V6170C1,121.6142,25.06355,vd,255,"25.06355,121.6142"
V6171C0,121.6194,25.06115,vd,256,"25.06115,121.6194"
V6171C1,121.61598000000001,25.062929999999998,vd,257,"25.062929999999998,121.61598000000001"
V6180A0,121.61796000000001,25.06201,vd,258,"25.06201,121.61796000000001"
V6180A1,121.61935,25.06109,vd,259,"25.06109,121.61935"
V6180A2,121.62175,25.058220000000002,vd,260,"25.058220000000002,121.62175"
V6310G0,121.62187,25.05829,vd,261,"25.05829,121.62187"
V6320G0,121.6195,25.06121,vd,262,"25.06121,121.6195"
V6320G1,121.6167,25.062929999999998,vd,263,"25.062929999999998,121.6167"
V6330G0,121.61446000000001,25.06356,vd,264,"25.06356,121.61446000000001"
V6330G2,121.61083,25.06113,vd,265,"25.06113,121.61083"
V6330G3,121.60958000000001,25.06019,vd,266,"25.06019,121.60958000000001"
V6330G4,121.60588999999999,25.05902,vd,267,"25.05902,121.60588999999999"
V6330G5,121.60211000000001,25.05858,vd,268,"25.05858,121.60211000000001"
V6330G6,121.59806999999999,25.05839,vd,269,"25.05839,121.59806999999999"
V6330G7,121.59116000000002,25.06094,vd,270,"25.06094,121.59116000000002"
V6330G8,121.58753999999999,25.060570000000002,vd,271,"25.060570000000002,121.58753999999999"
V6340G0,121.58507,25.059279999999998,vd,272,"25.059279999999998,121.58507"
V6340G1,121.5807,25.05692,vd,273,"25.05692,121.5807"
V6350G0,121.5765,25.0547,vd,274,"25.0547,121.5765"
V6351G0,121.57915,25.05602,vd,275,"25.05602,121.57915"
V6360G0,121.57418999999999,25.05343,vd,276,"25.05343,121.57418999999999"
V6360G1,121.57056000000001,25.05142,vd,277,"25.05142,121.57056000000001"
